trigger_id,trigger_clk,integer_data,idk,sensor_1-2,sensor_3-4,sensor_5-6,internal_trigger,veto_in
0,1882168984,16776960,00000000,11111111,11111111,00000000,false,false
0,1882176984,16776960,00000000,11111111,11111111,00000000,false,false
0,1072996353,16776960,00000000,11111111,11111111,00000000,false,false
0,1073038198,16776960,00000000,11111111,11111111,00000000,false,false
0,1073168771,16776960,00000000,11111111,11111111,00000000,false,false
0,1073213585,16776960,00000000,11111111,11111111,00000000,false,false
0,1079106984,16776960,00000000,11111111,11111111,00000000,false,false
0,1079301828,16776960,00000000,11111111,11111111,00000000,false,false
0,1079326677,16776960,00000000,11111111,11111111,00000000,false,false
0,1085522163,16776960,00000000,11111111,11111111,00000000,false,false
0,1088915348,16776960,00000000,11111111,11111111,00000000,false,false
0,1091821811,16776960,00000000,11111111,11111111,00000000,false,false
0,1092024665,16776960,00000000,11111111,11111111,00000000,false,false
0,1092150940,16776960,00000000,11111111,11111111,00000000,false,false
0,1092162505,16776961,00000000,11111111,11111111,00000001,false,true
0,1098468292,16776960,00000000,11111111,11111111,00000000,false,false
0,1099015043,16776962,00000000,11111111,11111111,00000010,false,true
0,1101721957,16776960,00000000,11111111,11111111,00000000,false,false
0,1105023344,16776960,00000000,11111111,11111111,00000000,false,false
0,1105235652,16776960,00000000,11111111,11111111,00000000,false,false
0,1105284920,16776960,00000000,11111111,11111111,00000000,false,false
0,1105338798,16777088,00000000,11111111,11111111,10000000,false,true
0,1106856985,16777088,00000000,11111111,11111111,10000000,false,true
0,1108402424,16776960,00000000,11111111,11111111,00000000,false,false
0,1111127840,16776960,00000000,11111111,11111111,00000000,false,false
0,1112848852,16776960,00000000,11111111,11111111,00000000,false,false
0,1117499222,16776960,00000000,11111111,11111111,00000000,false,false
0,1117630889,16776960,00000000,11111111,11111111,00000000,false,false
0,1117952672,16776960,00000000,11111111,11111111,00000000,false,false
0,1118004597,16776960,00000000,11111111,11111111,00000000,false,false
0,1118232416,16776960,00000000,11111111,11111111,00000000,false,false
0,1118842774,16776960,00000000,11111111,11111111,00000000,false,false
0,1121607668,16776960,00000000,11111111,11111111,00000000,false,false
0,1124262830,16776960,00000000,11111111,11111111,00000000,false,false
0,1124434467,16776960,00000000,11111111,11111111,00000000,false,false
0,1127557440,16776960,00000000,11111111,11111111,00000000,false,false
0,1130377368,16776960,00000000,11111111,11111111,00000000,false,false
0,1130483014,16776992,00000000,11111111,11111111,00100000,false,true
0,1130624840,16776960,00000000,11111111,11111111,00000000,false,false
0,1130891105,16776960,00000000,11111111,11111111,00000000,false,false
0,1130907241,16776960,00000000,11111111,11111111,00000000,false,false
0,1130987335,16776960,00000000,11111111,11111111,00000000,false,false
0,1131131661,16776960,00000000,11111111,11111111,00000000,false,false
0,1133765552,16776960,00000000,11111111,11111111,00000000,false,false
0,1133938165,16776960,00000000,11111111,11111111,00000000,false,false
0,1136683546,16776960,00000000,11111111,11111111,00000000,false,false
0,1136838577,16776960,00000000,11111111,11111111,00000000,false,false
0,1136915116,16776960,00000000,11111111,11111111,00000000,false,false
0,1137245730,16776960,00000000,11111111,11111111,00000000,false,false
0,1140226644,16776960,00000000,11111111,11111111,00000000,false,false
0,1140651261,16776960,00000000,11111111,11111111,00000000,false,false
0,1140659934,16776960,00000000,11111111,11111111,00000000,false,false
0,1142788702,16776960,00000000,11111111,11111111,00000000,false,false
0,1146690270,16776960,00000000,11111111,11111111,00000000,false,false
0,1147006740,16776960,00000000,11111111,11111111,00000000,false,false
0,1149702268,16776960,00000000,11111111,11111111,00000000,false,false
0,1149756498,16776960,00000000,11111111,11111111,00000000,false,false
0,1149835224,16776960,00000000,11111111,11111111,00000000,false,false
0,1150324268,16776960,00000000,11111111,11111111,00000000,false,false
0,1156058334,16776960,00000000,11111111,11111111,00000000,false,false
0,1156233174,16776960,00000000,11111111,11111111,00000000,false,false
0,1156309439,16776960,00000000,11111111,11111111,00000000,false,false
0,1156453101,16776960,00000000,11111111,11111111,00000000,false,false
0,1156473456,16776960,00000000,11111111,11111111,00000000,false,false
0,1156604264,16776960,00000000,11111111,11111111,00000000,false,false
0,1159912588,16776960,00000000,11111111,11111111,00000000,false,false
0,1162740525,16776960,00000000,11111111,11111111,00000000,false,false
0,1162745956,16776960,00000000,11111111,11111111,00000000,false,false
0,1162760412,16776960,00000000,11111111,11111111,00000000,false,false
0,1162810070,16776960,00000000,11111111,11111111,00000000,false,false
0,1163356157,16776960,00000000,11111111,11111111,00000000,false,false
0,1168828104,16776960,00000000,11111111,11111111,00000000,false,false
0,1169011657,16776960,00000000,11111111,11111111,00000000,false,false
0,1169244165,16776961,00000000,11111111,11111111,00000001,false,true
